;fl_date;mkt_unique_carrier;branded_code_share;mkt_carrier;mkt_carrier_fl_num;op_unique_carrier;tail_num;op_carrier_fl_num;origin_airport_id;origin;origin_city_name;dest_airport_id;dest;dest_city_name;crs_dep_time;dep_time;dep_delay;taxi_out;wheels_off;wheels_on;taxi_in;crs_arr_time;arr_time;arr_delay;cancelled;cancellation_code;diverted;dup;crs_elapsed_time;actual_elapsed_time;air_time;flights;distance;carrier_delay;weather_delay;nas_delay;security_delay;late_aircraft_delay;first_dep_time;total_add_gtime;longest_add_gtime;no_name
625887;2019-07-01;AS;AS;AS;673;AS;N309AS;673;11292;DEN;Denver, CO;14747;SEA;Seattle, WA;830;825.0;-5.0;18.0;843.0;1006.0;16.0;1030;1022.0;-8.0;0;;0;N;180;177.0;143.0;1;1024;;;;;;;;;
839764;2019-12-20;AS;AS;AS;766;AS;N474AS;766;10299;ANC;Anchorage, AK;14747;SEA;Seattle, WA;450;440.0;-10.0;11.0;451.0;909.0;12.0;920;921.0;1.0;0;;0;N;210;221.0;198.0;1;1448;;;;;;;;;
250159;2018-08-15;AS;AS_CODESHARE;AS;2538;QX;N452QX;2538;10713;BOI;Boise, ID;14057;PDX;Portland, OR;1122;1113.0;-9.0;11.0;1124.0;1130.0;10.0;1142;1140.0;-2.0;0;;0;N;80;87.0;66.0;1;344;;;;;;;;;
198811;2018-07-05;AS;AS_CODESHARE;AS;2221;QX;N453QX;2221;14747;SEA;Seattle, WA;13264;MFR;Medford, OR;1140;1131.0;-9.0;11.0;1142.0;1252.0;4.0;1312;1256.0;-16.0;0;;0;N;92;85.0;70.0;1;352;;;;;;;;;
649455;2019-07-19;AS;AS_CODESHARE;AS;2392;QX;N638QX;2392;14057;PDX;Portland, OR;14771;SFO;San Francisco, CA;1135;1222.0;47.0;13.0;1235.0;1401.0;4.0;1325;1405.0;40.0;0;;0;N;110;103.0;86.0;1;550;40.0;0.0;0.0;0.0;0.0;1131.0;26.0;26.0;
650667;2019-07-20;AS;AS;AS;138;AS;N477AS;138;10299;ANC;Anchorage, AK;13930;ORD;Chicago, IL;2305;2254.0;-11.0;14.0;2308.0;745.0;34.0;820;819.0;-1.0;0;;0;N;375;385.0;337.0;1;2846;;;;;;;;;
638492;2019-07-11;AS;AS;AS;26;AS;N474AS;26;14747;SEA;Seattle, WA;13930;ORD;Chicago, IL;1730;1735.0;5.0;20.0;1755.0;2311.0;8.0;2340;2319.0;-21.0;0;;0;N;250;224.0;196.0;1;1721;;;;;;;;;
609947;2019-06-19;AS;AS_CODESHARE;AS;2201;QX;N437QX;2201;16101;YKM;Yakima, WA;14747;SEA;Seattle, WA;1210;1224.0;14.0;4.0;1228.0;1301.0;7.0;1255;1308.0;13.0;0;;0;N;45;44.0;33.0;1;103;;;;;;;;;
604750;2019-06-14;AS;AS_CODESHARE;AS;2829;QX;N630QX;2829;14771;SFO;San Francisco, CA;14004;PAE;Everett, WA;1810;1826.0;16.0;4.0;1830.0;2023.0;4.0;2025;2027.0;2.0;0;;0;N;135;121.0;113.0;1;710;;;;;;;;;
635524;2019-07-08;AS;AS_CODESHARE;AS;2885;QX;N637QX;2885;14057;PDX;Portland, OR;14004;PAE;Everett, WA;2140;2136.0;-4.0;9.0;2145.0;2218.0;22.0;2240;2240.0;0.0;0;;0;N;60;64.0;33.0;1;161;;;;;;;;;
