;fl_date;mkt_unique_carrier;branded_code_share;mkt_carrier;mkt_carrier_fl_num;op_unique_carrier;tail_num;op_carrier_fl_num;origin_airport_id;origin;origin_city_name;dest_airport_id;dest;dest_city_name;crs_dep_time;dep_time;dep_delay;taxi_out;wheels_off;wheels_on;taxi_in;crs_arr_time;arr_time;arr_delay;cancelled;cancellation_code;diverted;dup;crs_elapsed_time;actual_elapsed_time;air_time;flights;distance;carrier_delay;weather_delay;nas_delay;security_delay;late_aircraft_delay;first_dep_time;total_add_gtime;longest_add_gtime;no_name
501920;2018-07-03;HA;HA;HA;526;HA;N495HA;526;12173;HNL;Honolulu, HI;13830;OGG;Kahului, HI;904;856.0;-8.0;16.0;912.0;933.0;7.0;947;940.0;-7.0;0;;0;N;43;44.0;21.0;1;100;;;;;;;;;
140874;2019-03-09;F9;F9;F9;105;F9;N719FR;105;14843;SJU;San Juan, PR;13204;MCO;Orlando, FL;359;402.0;3.0;13.0;415.0;558.0;15.0;610;613.0;3.0;0;;0;N;191;191.0;163.0;1;1189;;;;;;;;;
649424;2018-02-12;VX;VX;VX;1490;VX;N633VA;1490;12892;LAX;Los Angeles, CA;12889;LAS;Las Vegas, NV;2000;2008.0;8.0;21.0;2029.0;2108.0;10.0;2113;2118.0;5.0;0;;0;N;73;70.0;39.0;1;236;;;;;;;;;
60993;2018-07-10;F9;F9;F9;1901;F9;N948FR;1901;10423;AUS;Austin, TX;14831;SJC;San Jose, CA;2059;2113.0;14.0;14.0;2127.0;2230.0;7.0;2239;2237.0;-2.0;0;;0;N;220;204.0;183.0;1;1476;;;;;;;;;
217048;2019-09-28;F9;F9;F9;498;F9;N334FR;498;11292;DEN;Denver, CO;11986;GRR;Grand Rapids, MI;616;610.0;-6.0;20.0;630.0;1023.0;8.0;1048;1031.0;-17.0;0;;0;N;152;141.0;113.0;1;1015;;;;;;;;;
614560;2019-09-17;HA;HA;HA;24;HA;N202HA;24;13830;OGG;Kahului, HI;13796;OAK;Oakland, CA;1135;1211.0;36.0;12.0;1223.0;1954.0;12.0;1935;2006.0;31.0;0;;0;N;300;295.0;271.0;1;2349;8.0;0.0;0.0;0.0;23.0;;;;
21025;2018-03-10;F9;F9;F9;1630;F9;N322FR;1630;12892;LAX;Los Angeles, CA;13204;MCO;Orlando, FL;2045;2130.0;45.0;19.0;2149.0;538.0;28.0;528;606.0;38.0;0;;0;N;283;276.0;229.0;1;2218;7.0;0.0;27.0;0.0;4.0;;;;
619324;2019-10-06;HA;HA;HA;248;HA;N493HA;248;12173;HNL;Honolulu, HI;12758;KOA;Kona, HI;1104;1100.0;-4.0;17.0;1117.0;1146.0;6.0;1153;1152.0;-1.0;0;;0;N;49;52.0;29.0;1;163;;;;;;;;;
411389;2019-07-17;G4;G4;G4;1545;G4;250NV;1545;14082;PGD;Punta Gorda, FL;10431;AVL;Asheville, NC;1932;2113.0;101.0;9.0;2122.0;2243.0;7.0;2111;2250.0;99.0;0;;0;N;99;97.0;81.0;1;588;0.0;0.0;0.0;0.0;99.0;;;;
603028;2019-08-04;HA;HA;HA;11;HA;N391HA;11;14771;SFO;San Francisco, CA;12173;HNL;Honolulu, HI;915;916.0;1.0;27.0;943.0;1209.0;7.0;1140;1216.0;36.0;0;;0;N;325;360.0;326.0;1;2398;36.0;0.0;0.0;0.0;0.0;;;;
540929;2018-12-01;HA;HA;HA;222;HA;N486HA;222;12173;HNL;Honolulu, HI;12402;ITO;Hilo, HI;1515;1512.0;-3.0;14.0;1526.0;1602.0;5.0;1610;1607.0;-3.0;0;;0;N;55;55.0;36.0;1;216;;;;;;;;;
541177;2018-12-02;HA;HA;HA;187;HA;N495HA;187;12758;KOA;Kona, HI;12173;HNL;Honolulu, HI;1700;1655.0;-5.0;10.0;1705.0;1734.0;6.0;1748;1740.0;-8.0;0;;0;N;48;45.0;29.0;1;163;;;;;;;;;
350309;2018-12-28;G4;G4;G4;802;G4;228NV;802;14112;PIE;St. Petersburg, FL;13230;MDT;Harrisburg, PA;1323;1323.0;0.0;12.0;1335.0;1530.0;9.0;1546;1539.0;-7.0;0;;0;N;143;136.0;115.0;1;912;;;;;;;;;
439770;2019-11-02;G4;G4;G4;1623;G4;222NV;1623;10257;ALB;Albany, NY;14082;PGD;Punta Gorda, FL;1038;1033.0;-5.0;9.0;1042.0;1342.0;6.0;1342;1348.0;6.0;0;;0;N;184;195.0;180.0;1;1185;;;;;;;;;
442709;2019-11-14;G4;G4;G4;2510;G4;230NV;2510;14685;SAV;Savannah, GA;11042;CLE;Cleveland, OH;1158;1221.0;23.0;11.0;1232.0;1402.0;4.0;1348;1406.0;18.0;0;;0;N;110;105.0;90.0;1;641;0.0;0.0;14.0;0.0;4.0;;;;
